3.413,5.3091,3.413,4.1714,3.0338,4.1714,2.6546,2.6546,5.3091,2.6546,0.3792,0.7584,0.7584,0,0.3792,0,0,1.1377,0,0,0,0.7584,0,1.1377,0.3792,0.7584,0.7584,0.3792,0.7584,0.3792,0.3792,0,0.7584,0,0.3792,0,0,1.1377,0.3792,0,0,0.7584,0.3792,0.3792,0,0,0.7584,0,0.7584,1.1377,1.8961,0,0.3792,0.3792,0,0,0,0,0.3792,0,0,0.7584,0,0.7584,0.3792,0.3792,0,0,1.1377,0.7584,0,0.3792,0,0.7584,0,1.1377,0,0,0.3792,0,0,0,0.7584,0,1.1377,0.3792,0.3792,0,0,0,0.3792,1.5169,0.3792,0.7584,0.3792,0.7584,0,0,0.7584,0.3792,0,0.3792,0,0,0,0.7584,0.7584,0,0.7584,0,0.1849,0.2084,0.2275
5.7277,6.0646,3.7062,4.38,0.6738,4.38,0.6738,4.0431,6.0646,0.6738,1.3477,0.6738,1.0108,0,0.6738,0.3369,0,0.6738,0.3369,0.3369,0,1.0108,0.6738,0.6738,0,1.0108,0.3369,0.3369,2.0215,0,1.3477,0.6738,0.3369,0.3369,0,0,0,0.6738,0.3369,0,0.3369,1.6846,0.3369,0.6738,0,0,0,0.3369,1.0108,0,0.3369,0,0,0,0,0,0,0.3369,0,0,0.3369,1.3477,0.3369,0.6738,0,0.6738,0,0,0.6738,0.3369,0,0,0.3369,0.3369,0,0,0,0,0,0,1.0108,0.3369,0.3369,0.3369,0,0.6738,0,1.0108,0.3369,0,0.6738,0,0.3369,1.3477,0,1.6846,0.3369,0.6738,1.0108,0,0,0.3369,0,0,0,0,0,0,0.3369,0,0.1852,0.2556,0.2224
1.6641,5.6578,1.6641,5.325,0.6656,5.325,0.9984,4.6594,5.6578,0.9984,0,0,0,0,0,0.3328,0.3328,0.3328,0.3328,0,0.3328,2.6625,0.3328,0.6656,0,0.3328,0,0.3328,0.6656,0.3328,0,0,0,0,0.3328,0.6656,0,0.3328,0.3328,0,0.6656,0.9984,0.3328,1.9969,0,0,0.3328,0.3328,0.3328,0.3328,0,0,0,0,0,0.3328,0,0.3328,0,0,0,0.9984,0.3328,0.6656,0,1.6641,0.3328,0.3328,0.6656,0.3328,0,0,0,0.3328,0,0.3328,0,0,0.3328,0,0.6656,0.3328,0.6656,0.3328,0.3328,0.3328,0,1.6641,0.3328,0,0,0.6656,0,0.9984,0,0.9984,0,0.3328,2.6625,0,0,0,0,0.3328,0,0.3328,0,0.3328,0,0,0.1997,0.2174,0.2501
3.771,3.5017,2.6936,5.6565,3.5017,5.6565,1.3468,2.4242,3.5017,1.3468,0.5387,0,0.5387,0.5387,0.8081,0.8081,0,0.5387,0,0,0,0.2694,0,0,0.8081,1.0774,0,0,1.0774,0.2694,0.8081,0.2694,0.2694,0,0.2694,0.2694,0,0.2694,0,0.2694,0.8081,0.5387,0.8081,1.6161,0,0.5387,0,0,1.0774,0.2694,1.0774,0.2694,0.2694,0,0.2694,0.2694,0.2694,0.5387,0.5387,0,0,1.3468,0.5387,1.0774,0.2694,1.6161,0.2694,0.2694,0,0.2694,0,0.2694,0,0.2694,0,0.2694,0,0.2694,0.2694,0,0.5387,0.2694,0,0.2694,0.8081,0.2694,0,0.2694,0,0,0,0,0.2694,1.3468,0.2694,0.5387,0.2694,0.2694,0.2694,0.2694,0,0.2694,0,0.5387,0,0,0.5387,0,0,0,0.18,0.2822,0.2685
4.5602,5.8631,2.2801,4.8859,2.6058,4.8859,1.9544,1.6286,5.8631,1.9544,0.6515,0.6515,0.3257,0,0.9772,0.6515,0.3257,0.3257,0.3257,0.3257,0.6515,1.6286,0,0.6515,0,1.3029,0.3257,0,1.3029,0,0.6515,0.6515,0.3257,0,0,0,0,0.3257,0.3257,0,0.6515,0.9772,0,1.3029,0,0,0.3257,0.3257,1.3029,0,0.6515,0.3257,0.3257,0,0,0,0,0,0.3257,0.6515,0,0.6515,0,1.3029,0,1.3029,0.3257,0.3257,0.6515,0.3257,0.3257,0.6515,0,0.3257,0.6515,0,0,0,0,0,0.3257,0,0.3257,0.3257,0,0.3257,0.3257,0,0,0,0.3257,0,0.6515,0.6515,0.6515,0.9772,0.3257,0,1.6286,0.6515,0,0.3257,0.3257,0.3257,0.3257,0.3257,0,0.3257,0,0,0.1725,0.2292,0.2725
2.9489,4.7182,2.3591,6.4875,1.1796,6.4875,2.654,1.1796,4.7182,2.654,0.2949,0.2949,0.2949,0.2949,0.2949,0.8847,0.2949,0,0.2949,0,0.2949,1.4744,0,0.2949,0,1.1796,0,0,0.5898,0.8847,0.5898,0.2949,0,0.8847,0,0.2949,0,0.2949,0,0,0.2949,0.8847,0.8847,1.4744,0,0,0.5898,0,1.4744,0.8847,0.5898,0,0,0,0.2949,0,0.2949,0,0,0,0.8847,0.8847,0.5898,1.1796,0,1.4744,0.5898,0.2949,0,0.5898,0,0,0.2949,0.5898,0,0.8847,0,0,0.8847,0,0,0,0.2949,0,0,0,0.2949,0.2949,0,0.2949,0,0.5898,0,0.8847,0,1.1796,0,0.2949,1.4744,0,0,0,0,0.8847,0.5898,0.5898,0.5898,0,0,0,0.2186,0.2234,0.2631
3.3595,2.0674,3.3595,7.4942,0.7753,7.4942,1.5505,1.0337,2.0674,1.5505,1.0337,0.5168,0.5168,0.2584,0.2584,0.2584,0.2584,0,0,0.2584,0.2584,0,0,0.2584,0,0.7753,0,0,0.5168,0.2584,0.2584,0,0.5168,1.0337,0,1.0337,0,0.5168,0,0,0.7753,0.5168,0.7753,2.5842,0,1.2921,0.5168,0.2584,0.7753,0,0.2584,0,0.5168,0,0,0,0,0,0,0,0.5168,0.5168,0.2584,1.5505,0.2584,2.8426,0.5168,0.2584,0.2584,0.2584,0,0.5168,0,0.2584,0,0,0.2584,0,0.5168,0,0,0,0.5168,0.2584,0,0.2584,0,0,0,0,0.2584,0,0,0.5168,0.2584,0.5168,0,0,0,0.5168,0,0,0.2584,0.5168,0,0.5168,0,0,0,0.2584,0.1984,0.2544,0.2887
3.568,3.8654,1.784,5.9467,2.0814,5.9467,0.892,3.568,3.8654,0.892,0.892,0.2973,0.5947,0.2973,0.5947,0.2973,0,0.5947,0,0,0,1.1893,0,0,0.2973,2.3787,0,0,0,0,0,0.2973,0.5947,0.2973,0,0,0,0.5947,0,0,0.2973,0.2973,0,1.4867,0.2973,0.5947,0.2973,0.2973,2.3787,0,0.2973,0.2973,0,0.5947,0,0.2973,0,0,0.2973,0,0.892,1.1893,0,0.892,0.2973,1.4867,0.2973,0,0,0.892,0,0,0,0.892,0,0,0,0,0,0,0.5947,0.2973,0.2973,0,0.2973,0.2973,0.2973,1.4867,0,0,0.2973,0,0.2973,1.1893,0.2973,0.2973,0,0.2973,1.1893,0,0,0,0,0.2973,0,0.2973,0,0.2973,0,0,0.1933,0.2384,0.271
6.3134,4.4194,1.2627,4.1037,4.4194,4.1037,1.5783,2.5254,4.4194,1.5783,1.894,0.3157,0,0.3157,1.894,0.6313,0.3157,0.6313,0.3157,0,0.947,0.947,0,0.947,0.3157,0.3157,0.3157,0,0.6313,0,0.3157,0,0.3157,0,0.3157,0,0,0,0,0,0.3157,1.5783,0.3157,0.6313,0,0,0,0.6313,0.3157,0.3157,1.894,0.3157,0.3157,0,0.6313,0,0.3157,0,0.947,0,0,0.3157,0,1.2627,0,0.6313,0.3157,0,0.947,0.6313,0,0.6313,0,0.6313,0,0.3157,0,0,0,0,0.6313,0,0.3157,0,0.3157,0.3157,0,0.947,0,0,0,0,0,0.3157,0.6313,1.5783,0.3157,0,0.947,0.6313,0.3157,0.3157,0,0,0.3157,0.3157,0,0,0.3157,0,0.1599,0.2289,0.2956
3.4209,8.5522,1.0263,3.0788,2.3946,3.0788,2.0525,3.0788,8.5522,2.0525,0.3421,0.3421,0.3421,0,0.3421,1.0263,0,0.3421,0.6842,0,0.6842,3.4209,0,1.0263,0.3421,0.3421,0.6842,0.3421,1.3683,0.3421,0.6842,0,0,0.3421,0,0,0,0,0,0,0.3421,1.7104,0,0.3421,0,0,0,0,0.3421,0.3421,0.3421,0.6842,0,0,0.3421,0,0,0.3421,0.6842,0,0,0.3421,0.3421,0,0,0,0.3421,1.0263,1.0263,0,0,0.6842,0.3421,0,0,0.3421,0.3421,0,0.3421,0,0,0.3421,0,0.6842,0.6842,0,0.3421,0.3421,0.3421,0.3421,0.6842,0.6842,0,0.3421,0.6842,1.3683,0.3421,0.3421,3.0788,0.6842,0,0.3421,0,0.3421,0,0,0,0.3421,0.6842,0.3421,0.211,0.2407,0.2062
