5.4545,8.4848,5.4545,6.6667,4.8485,6.6667,4.2424,4.2424,8.4848,4.2424,0.6061,1.2121,1.2121,0,0.6061,0,0,1.8182,0,0,0,1.2121,0,1.8182,0.6061,1.2121,1.2121,0.6061,1.2121,0.6061,0.6061,0,1.2121,0,0.6061,0,0,1.8182,0.6061,0,0,1.2121,0.6061,0.6061,0,0,1.2121,0,1.2121,1.8182,3.0303,0,0.6061,0.6061,0,0,0,0,0.6061,0,0,1.2121,0,1.2121,0.6061,0.6061,0,0,1.8182,1.2121,0,0.6061,0,1.2121,0,1.8182,0,0,0.6061,0,0,0,1.2121,0,1.8182,0.6061,0.6061,0,0,0,0.6061,2.4242,0.6061,1.2121,0.6061,1.2121,0,0,1.2121,0.6061,0,0.6061,0,0,0,1.2121,1.2121,0,1.2121,0,0.3939
9.8112,10.3883,6.3484,7.5027,1.1543,7.5027,1.1543,6.9256,10.3883,1.1543,2.3085,1.1543,1.7314,0,1.1543,0.5771,0,1.1543,0.5771,0.5771,0,1.7314,1.1543,1.1543,0,1.7314,0.5771,0.5771,3.4628,0,2.3085,1.1543,0.5771,0.5771,0,0,0,1.1543,0.5771,0,0.5771,2.8857,0.5771,1.1543,0,0,0,0.5771,1.7314,0,0.5771,0,0,0,0,0,0,0.5771,0,0,0.5771,2.3085,0.5771,1.1543,0,1.1543,0,0,1.1543,0.5771,0,0,0.5771,0.5771,0,0,0,0,0,0,1.7314,0.5771,0.5771,0.5771,0,1.1543,0,1.7314,0.5771,0,1.1543,0,0.5771,2.3085,0,2.8857,0.5771,1.1543,1.7314,0,0,0.5771,0,0,0,0,0,0,0.5771,0,0.4229
2.7778,9.4444,2.7778,8.8889,1.1111,8.8889,1.6667,7.7778,9.4444,1.6667,0,0,0,0,0,0.5556,0.5556,0.5556,0.5556,0,0.5556,4.4444,0.5556,1.1111,0,0.5556,0,0.5556,1.1111,0.5556,0,0,0,0,0.5556,1.1111,0,0.5556,0.5556,0,1.1111,1.6667,0.5556,3.3333,0,0,0.5556,0.5556,0.5556,0.5556,0,0,0,0,0,0.5556,0,0.5556,0,0,0,1.6667,0.5556,1.1111,0,2.7778,0.5556,0.5556,1.1111,0.5556,0,0,0,0.5556,0,0.5556,0,0,0.5556,0,1.1111,0.5556,1.1111,0.5556,0.5556,0.5556,0,2.7778,0.5556,0,0,1.1111,0,1.6667,0,1.6667,0,0.5556,4.4444,0,0,0,0,0.5556,0,0.5556,0,0.5556,0,0,0.4444
7.4033,6.8745,5.288,11.1049,6.8745,11.1049,2.644,4.7592,6.8745,2.644,1.0576,0,1.0576,1.0576,1.5864,1.5864,0,1.0576,0,0,0,0.5288,0,0,1.5864,2.1152,0,0,2.1152,0.5288,1.5864,0.5288,0.5288,0,0.5288,0.5288,0,0.5288,0,0.5288,1.5864,1.0576,1.5864,3.1728,0,1.0576,0,0,2.1152,0.5288,2.1152,0.5288,0.5288,0,0.5288,0.5288,0.5288,1.0576,1.0576,0,0,2.644,1.0576,2.1152,0.5288,3.1728,0.5288,0.5288,0,0.5288,0,0.5288,0,0.5288,0,0.5288,0,0.5288,0.5288,0,1.0576,0.5288,0,0.5288,1.5864,0.5288,0,0.5288,0,0,0,0,0.5288,2.644,0.5288,1.0576,0.5288,0.5288,0.5288,0.5288,0,0.5288,0,1.0576,0,0,1.0576,0,0,0,0.4712
8.2049,10.5491,4.1024,8.7909,4.6885,8.7909,3.5164,2.9303,10.5491,3.5164,1.1721,1.1721,0.5861,0,1.7582,1.1721,0.5861,0.5861,0.5861,0.5861,1.1721,2.9303,0,1.1721,0,2.3442,0.5861,0,2.3442,0,1.1721,1.1721,0.5861,0,0,0,0,0.5861,0.5861,0,1.1721,1.7582,0,2.3442,0,0,0.5861,0.5861,2.3442,0,1.1721,0.5861,0.5861,0,0,0,0,0,0.5861,1.1721,0,1.1721,0,2.3442,0,2.3442,0.5861,0.5861,1.1721,0.5861,0.5861,1.1721,0,0.5861,1.1721,0,0,0,0,0,0.5861,0,0.5861,0.5861,0,0.5861,0.5861,0,0,0,0.5861,0,1.1721,1.1721,1.1721,1.7582,0.5861,0,2.9303,1.1721,0,0.5861,0.5861,0.5861,0.5861,0.5861,0,0.5861,0,0,0.4139
5.0296,8.0473,4.0237,11.0651,2.0118,11.0651,4.5266,2.0118,8.0473,4.5266,0.503,0.503,0.503,0.503,0.503,1.5089,0.503,0,0.503,0,0.503,2.5148,0,0.503,0,2.0118,0,0,1.0059,1.5089,1.0059,0.503,0,1.5089,0,0.503,0,0.503,0,0,0.503,1.5089,1.5089,2.5148,0,0,1.0059,0,2.5148,1.5089,1.0059,0,0,0,0.503,0,0.503,0,0,0,1.5089,1.5089,1.0059,2.0118,0,2.5148,1.0059,0.503,0,1.0059,0,0,0.503,1.0059,0,1.5089,0,0,1.5089,0,0,0,0.503,0,0,0,0.503,0.503,0,0.503,0,1.0059,0,1.5089,0,2.0118,0,0.503,2.5148,0,0,0,0,1.5089,1.0059,1.0059,1.0059,0,0,0,0.497
6.4238,3.9531,6.4238,14.33,1.4824,14.33,2.9648,1.9765,3.9531,2.9648,1.9765,0.9883,0.9883,0.4941,0.4941,0.4941,0.4941,0,0,0.4941,0.4941,0,0,0.4941,0,1.4824,0,0,0.9883,0.4941,0.4941,0,0.9883,1.9765,0,1.9765,0,0.9883,0,0,1.4824,0.9883,1.4824,4.9414,0,2.4707,0.9883,0.4941,1.4824,0,0.4941,0,0.9883,0,0,0,0,0,0,0,0.9883,0.9883,0.4941,2.9648,0.4941,5.4355,0.9883,0.4941,0.4941,0.4941,0,0.9883,0,0.4941,0,0,0.4941,0,0.9883,0,0,0,0.9883,0.4941,0,0.4941,0,0,0,0,0.4941,0,0,0.9883,0.4941,0.9883,0,0,0,0.9883,0,0,0.4941,0.9883,0,0.9883,0,0,0,0.4941,0.5059
6.4286,6.9643,3.2143,10.7143,3.75,10.7143,1.6071,6.4286,6.9643,1.6071,1.6071,0.5357,1.0714,0.5357,1.0714,0.5357,0,1.0714,0,0,0,2.1429,0,0,0.5357,4.2857,0,0,0,0,0,0.5357,1.0714,0.5357,0,0,0,1.0714,0,0,0.5357,0.5357,0,2.6786,0.5357,1.0714,0.5357,0.5357,4.2857,0,0.5357,0.5357,0,1.0714,0,0.5357,0,0,0.5357,0,1.6071,2.1429,0,1.6071,0.5357,2.6786,0.5357,0,0,1.6071,0,0,0,1.6071,0,0,0,0,0,0,1.0714,0.5357,0.5357,0,0.5357,0.5357,0.5357,2.6786,0,0,0.5357,0,0.5357,2.1429,0.5357,0.5357,0,0.5357,2.1429,0,0,0,0,0.5357,0,0.5357,0,0.5357,0,0,0.4643
11.9387,8.3571,2.3877,7.7601,8.3571,7.7601,2.9847,4.7755,8.3571,2.9847,3.5816,0.5969,0,0.5969,3.5816,1.1939,0.5969,1.1939,0.5969,0,1.7908,1.7908,0,1.7908,0.5969,0.5969,0.5969,0,1.1939,0,0.5969,0,0.5969,0,0.5969,0,0,0,0,0,0.5969,2.9847,0.5969,1.1939,0,0,0,1.1939,0.5969,0.5969,3.5816,0.5969,0.5969,0,1.1939,0,0.5969,0,1.7908,0,0,0.5969,0,2.3877,0,1.1939,0.5969,0,1.7908,1.1939,0,1.1939,0,1.1939,0,0.5969,0,0,0,0,1.1939,0,0.5969,0,0.5969,0.5969,0,1.7908,0,0,0,0,0,0.5969,1.1939,2.9847,0.5969,0,1.7908,1.1939,0.5969,0.5969,0,0,0.5969,0.5969,0,0,0.5969,0,0.4031
5.4878,13.7195,1.6463,4.939,3.8415,4.939,3.2927,4.939,13.7195,3.2927,0.5488,0.5488,0.5488,0,0.5488,1.6463,0,0.5488,1.0976,0,1.0976,5.4878,0,1.6463,0.5488,0.5488,1.0976,0.5488,2.1951,0.5488,1.0976,0,0,0.5488,0,0,0,0,0,0,0.5488,2.7439,0,0.5488,0,0,0,0,0.5488,0.5488,0.5488,1.0976,0,0,0.5488,0,0,0.5488,1.0976,0,0,0.5488,0.5488,0,0,0,0.5488,1.6463,1.6463,0,0,1.0976,0.5488,0,0,0.5488,0.5488,0,0.5488,0,0,0.5488,0,1.0976,1.0976,0,0.5488,0.5488,0.5488,0.5488,1.0976,1.0976,0,0.5488,1.0976,2.1951,0.5488,0.5488,4.939,1.0976,0,0.5488,0,0.5488,0,0,0,0.5488,1.0976,0.5488,0.4512
